algorithm,file,iteration,tempo,memoria
greedy,input_100000_2.txt,1,0.09175467491149902,4
greedy,input_100000_2.txt,2,0.09089255332946777,4
greedy,input_100000_2.txt,3,0.09090495109558105,4
greedy,input_100000_2.txt,4,0.09239864349365234,4
greedy,input_100000_2.txt,5,0.09224319458007812,4
greedy,input_100000_2.txt,6,0.0927731990814209,4
greedy,input_100000_2.txt,7,0.09448790550231934,4
greedy,input_100000_2.txt,8,0.09317636489868164,4
greedy,input_100000_2.txt,9,0.09288763999938965,4
greedy,input_100000_2.txt,10,0.09137463569641113,4
greedy,input_100000_5.txt,1,0.09471511840820312,20
greedy,input_100000_5.txt,2,0.09491920471191406,20
greedy,input_100000_5.txt,3,0.0917046070098877,20
greedy,input_100000_5.txt,4,0.0900580883026123,20
greedy,input_100000_5.txt,5,0.09030318260192871,20
greedy,input_100000_5.txt,6,0.09037089347839355,20
greedy,input_100000_5.txt,7,0.09037470817565918,20
greedy,input_100000_5.txt,8,0.09374165534973145,20
greedy,input_100000_5.txt,9,0.09099388122558594,20
greedy,input_100000_5.txt,10,0.09023356437683105,20
greedy,input_100000_10.txt,1,0.09414339065551758,24
greedy,input_100000_10.txt,2,0.09204244613647461,24
greedy,input_100000_10.txt,3,0.09220385551452637,24
greedy,input_100000_10.txt,4,0.09305214881896973,24
greedy,input_100000_10.txt,5,0.0944051742553711,24
greedy,input_100000_10.txt,6,0.09803915023803711,24
greedy,input_100000_10.txt,7,0.09382939338684082,24
greedy,input_100000_10.txt,8,0.0940704345703125,24
greedy,input_100000_10.txt,9,0.09321141242980957,24
greedy,input_100000_10.txt,10,0.09325957298278809,24
greedy,input_1000000_2.txt,1,0.9298436641693115,2
greedy,input_1000000_2.txt,2,0.9245073795318604,2
greedy,input_1000000_2.txt,3,0.9282050132751465,2
greedy,input_1000000_2.txt,4,0.9253718852996826,2
greedy,input_1000000_2.txt,5,0.9291415214538574,2
greedy,input_1000000_2.txt,6,0.922318696975708,2
greedy,input_1000000_2.txt,7,0.9336967468261719,2
greedy,input_1000000_2.txt,8,0.9281549453735352,2
greedy,input_1000000_2.txt,9,0.9363069534301758,2
greedy,input_1000000_2.txt,10,0.9447224140167236,2
greedy,input_1000000_5.txt,1,0.9247100353240967,13
greedy,input_1000000_5.txt,2,0.9193894863128662,13
greedy,input_1000000_5.txt,3,0.9191102981567383,13
greedy,input_1000000_5.txt,4,0.9319548606872559,13
greedy,input_1000000_5.txt,5,0.9254481792449951,13
greedy,input_1000000_5.txt,6,0.9204339981079102,13
greedy,input_1000000_5.txt,7,0.9406378269195557,13
greedy,input_1000000_5.txt,8,0.9201138019561768,13
greedy,input_1000000_5.txt,9,0.9251928329467773,13
greedy,input_1000000_5.txt,10,0.9228951930999756,13
greedy,input_1000000_10.txt,1,0.9429097175598145,24
greedy,input_1000000_10.txt,2,0.934079647064209,24
greedy,input_1000000_10.txt,3,0.9463715553283691,24
greedy,input_1000000_10.txt,4,0.9430935382843018,24
greedy,input_1000000_10.txt,5,0.9380722045898438,24
greedy,input_1000000_10.txt,6,0.9422004222869873,24
greedy,input_1000000_10.txt,7,0.9404644966125488,24
greedy,input_1000000_10.txt,8,0.9374706745147705,24
greedy,input_1000000_10.txt,9,0.9401700496673584,24
greedy,input_1000000_10.txt,10,0.9393656253814697,24
randomization,input_100000_2.txt,1,0.09502196311950684,4
randomization,input_100000_2.txt,2,0.09560346603393555,4
randomization,input_100000_2.txt,3,0.09470033645629883,4
randomization,input_100000_2.txt,4,0.09486794471740723,4
randomization,input_100000_2.txt,5,0.09507107734680176,4
randomization,input_100000_2.txt,6,0.09335017204284668,4
randomization,input_100000_2.txt,7,0.09358429908752441,4
randomization,input_100000_2.txt,8,0.09316301345825195,4
randomization,input_100000_2.txt,9,0.09554910659790039,4
randomization,input_100000_2.txt,10,0.09339499473571777,4
randomization,input_100000_5.txt,1,0.09275507926940918,20
randomization,input_100000_5.txt,2,0.09312629699707031,20
randomization,input_100000_5.txt,3,0.09435057640075684,20
randomization,input_100000_5.txt,4,0.09319210052490234,20
randomization,input_100000_5.txt,5,0.0939028263092041,20
randomization,input_100000_5.txt,6,0.09504294395446777,20
randomization,input_100000_5.txt,7,0.09441924095153809,20
randomization,input_100000_5.txt,8,0.09444761276245117,20
randomization,input_100000_5.txt,9,0.09445476531982422,20
randomization,input_100000_5.txt,10,0.09474897384643555,20
randomization,input_100000_10.txt,1,0.09572553634643555,61
randomization,input_100000_10.txt,2,0.09482550621032715,61
randomization,input_100000_10.txt,3,0.0946805477142334,61
randomization,input_100000_10.txt,4,0.0946657657623291,61
randomization,input_100000_10.txt,5,0.09497380256652832,61
randomization,input_100000_10.txt,6,0.0949697494506836,61
randomization,input_100000_10.txt,7,0.0948324203491211,61
randomization,input_100000_10.txt,8,0.09484004974365234,61
randomization,input_100000_10.txt,9,0.09477853775024414,61
randomization,input_100000_10.txt,10,0.0959322452545166,61
randomization,input_1000000_2.txt,1,0.9660317897796631,2
randomization,input_1000000_2.txt,2,0.9673361778259277,2
randomization,input_1000000_2.txt,3,0.967634916305542,2
randomization,input_1000000_2.txt,4,0.9698376655578613,2
randomization,input_1000000_2.txt,5,0.9615011215209961,2
randomization,input_1000000_2.txt,6,0.9680581092834473,2
randomization,input_1000000_2.txt,7,0.9685273170471191,2
randomization,input_1000000_2.txt,8,0.961066484451294,2
randomization,input_1000000_2.txt,9,0.9686310291290283,2
randomization,input_1000000_2.txt,10,0.9719538688659668,2
randomization,input_1000000_5.txt,1,0.9499368667602539,13
randomization,input_1000000_5.txt,2,0.9822521209716797,13
randomization,input_1000000_5.txt,3,0.9590566158294678,13
randomization,input_1000000_5.txt,4,0.9575326442718506,13
randomization,input_1000000_5.txt,5,0.9556944370269775,13
randomization,input_1000000_5.txt,6,0.9637320041656494,13
randomization,input_1000000_5.txt,7,0.9563829898834229,13
randomization,input_1000000_5.txt,8,0.9574325084686279,13
randomization,input_1000000_5.txt,9,0.9557492733001709,13
randomization,input_1000000_5.txt,10,0.951155424118042,13
randomization,input_1000000_10.txt,1,0.9558365345001221,63
randomization,input_1000000_10.txt,2,0.9611172676086426,63
randomization,input_1000000_10.txt,3,0.9570260047912598,63
randomization,input_1000000_10.txt,4,0.9623911380767822,63
randomization,input_1000000_10.txt,5,0.957721471786499,63
randomization,input_1000000_10.txt,6,0.9573719501495361,63
randomization,input_1000000_10.txt,7,0.9525647163391113,63
randomization,input_1000000_10.txt,8,0.962181806564331,63
randomization,input_1000000_10.txt,9,0.9663450717926025,63
randomization,input_1000000_10.txt,10,0.9536693096160889,63
